Sample	checked	Country	State	Site	Replicate	Remnant	Depth	Lat	Long
Spr18_AMF_93_S93_L001	Y	USA	KS	HAY	1	Post-ag	30	38.844	-99.317
Spr18_AMF_94_S94_L001	Y	USA	KS	HAY	1	Remnant	5	38.844	-99.317
Spr18_AMF_95_S95_L001	Y	USA	KS	HAY	1	Remnant	15	38.844	-99.317
Spr18_AMF_96_S96_L001	Y	USA	KS	HAY	1	Disturbed	30	38.844	-99.317
Spr18_AMF_97_S97_L001	Y	USA	KS	HAY	1	Disturbed	5	38.844	-99.317
Spr18_AMF_98_S98_L001	Y	USA	KS	HAY	1	Remnant	75	38.844	-99.317
Spr18_AMF_99_S99_L001	Y	USA	KS	HAY	1	Post-ag	150	38.844	-99.317
2019_AMF_64_S64_L001	Y	USA	KS	EKS	1	Post-ag	150	38.181	-95.273
Brazil_Roraima_RR.Adv4.B_S72_L001	Y	Brazil	Roraima	RR-Adv4	1	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Adv4.C_S73_L001	Y	Brazil	Roraima	RR-Adv5	2	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Adv4.D_S74_L001	Y	Brazil	Roraima	RR-Adv6	3	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Adv4.E_S75_L001	Y	Brazil	Roraima	RR-Adv7	4	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.FL5.A_S76_L001	Y	Brazil	Roraima	RR-FL5	1	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.FL5.B_S77_L001	Y	Brazil	Roraima	RR-FL6	2	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.FL5.C_S78_L001	Y	Brazil	Roraima	RR-FL7	3	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.FL5.D_S79_L001	Y	Brazil	Roraima	RR-FL8	4	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.FL5.E_S80_L001	Y	Brazil	Roraima	RR-FL9	5	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Nat1.A_S58_L001	Y	Brazil	Roraima	RR-Nat1	1	Remnant	20	2.25	-60.665
Brazil_Roraima_RR.Nat1.B_S59_L001	Y	Brazil	Roraima	RR-Nat2	2	Remnant	20	2.25	-60.665
Brazil_Roraima_RR.Nat1.C_S60_L001	Y	Brazil	Roraima	RR-Nat3	3	Remnant	20	2.25	-60.665
Brazil_Roraima_RR.Nat1.D_S61_L001	Y	Brazil	Roraima	RR-Nat4	4	Remnant	20	2.25	-60.665
Brazil_Roraima_RR.Nat1.E_S62_L001	Y	Brazil	Roraima	RR-Nat5	5	Remnant	20	2.25	-60.665
Brazil_Roraima_RR.Plt2.A_S63_L001	Y	Brazil	Roraima	RR-Plt2	1	Disturbed	20	2.25	-60.665
Brazil_Roraima_RR.Plt2.B_S64_L001	Y	Brazil	Roraima	RR-Plt3	2	Disturbed	20	2.25	-60.665
